"district","date","variable","value"
"1",1980-08-01,"eddi3",0.207746252781007
"10",1980-08-01,"eddi3",0.426300001495025
"11",1980-08-01,"eddi3",1.21215116500855
"12",1980-08-01,"eddi3",0.988799208249801
"13",1980-08-01,"eddi3",1.0937496026357
"14",1980-08-01,"eddi3",0.598128264364989
"15",1980-08-01,"eddi3",0.951827752590179
"16",1980-08-01,"eddi3",1.01527698338032
"17",1980-08-01,"eddi3",0.527832806110382
"18",1980-08-01,"eddi3",0.94434472492763
"19",1980-08-01,"eddi3",0.737894554527438
"2",1980-08-01,"eddi3",-0.00165469646453857
"20",1980-08-01,"eddi3",1.66461045161272
"21",1980-08-01,"eddi3",1.76953096389771
"22",1980-08-01,"eddi3",1.44127411643664
"23",1980-08-01,"eddi3",1.21198282043139
"24",1980-08-01,"eddi3",1.26773520807425
"25",1980-08-01,"eddi3",1.26169954027448
"26",1980-08-01,"eddi3",1.36538601716359
"27",1980-08-01,"eddi3",1.5115122795105
"28",1980-08-01,"eddi3",1.21032811204592
"29",1980-08-01,"eddi3",0.833854215485709
"3",1980-08-01,"eddi3",0.474589734366446
